"","area","date","source","med_inc"
"327","Thames-Coromandel District",2001-03-31,"Census, median household income",27800
"328","Thames-Coromandel District",2006-03-31,"Census, median household income",36100
"329","Thames-Coromandel District",2013-03-31,"Census, median household income",41400
"330","Thames-Coromandel District",2018-03-31,"Census, median household income",50700
"331","Timaru District",1996-03-31,"Census, median household income",28700
"332","Timaru District",2001-03-31,"Census, median household income",30300
"333","Timaru District",2006-03-31,"Census, median household income",40500
"334","Timaru District",2013-03-31,"Census, median household income",53650
"335","Timaru District",2018-03-31,"Census, median household income",62200
"336","Upper Hutt City",1996-03-31,"Census, median household income",39300
"337","Upper Hutt City",2001-03-31,"Census, median household income",44300
"338","Upper Hutt City",2006-03-31,"Census, median household income",54500
"339","Upper Hutt City",2013-03-31,"Census, median household income",68400
"340","Upper Hutt City",2018-03-31,"Census, median household income",82600
"341","Waikato District",1996-03-31,"Census, median household income",34800
"342","Waikato District",2001-03-31,"Census, median household income",41700
"343","Waikato District",2006-03-31,"Census, median household income",56833.3333333333
"344","Waikato District",2013-03-31,"Census, median household income",69400
"345","Waikato District",2018-03-31,"Census, median household income",86600
"346","Waikato Region",1996-03-31,"Census, median household income",34100
"347","Waikato Region",2001-03-31,"Census, median household income",38450
"348","Waikato Region",2006-03-31,"Census, median household income",49433.3333333333
"349","Waikato Region",2013-03-31,"Census, median household income",59600
"350","Waikato Region",2018-03-31,"Census, median household income",69600
"351","Waimakariri District",1996-03-31,"Census, median household income",34700
"352","Waimakariri District",2001-03-31,"Census, median household income",39700
"353","Waimakariri District",2006-03-31,"Census, median household income",50900
"354","Waimakariri District",2013-03-31,"Census, median household income",68800
"355","Waimakariri District",2018-03-31,"Census, median household income",79000
"356","Waimate District",1996-03-31,"Census, median household income",27100
"357","Waimate District",2001-03-31,"Census, median household income",29100
"358","Waimate District",2006-03-31,"Census, median household income",35333.3333333333
"359","Waimate District",2013-03-31,"Census, median household income",48100
"360","Waimate District",2018-03-31,"Census, median household income",53600
"361","Waipa District",1996-03-31,"Census, median household income",36800
"362","Waipa District",2001-03-31,"Census, median household income",42100
"363","Waipa District",2006-03-31,"Census, median household income",54100
"364","Waipa District",2013-03-31,"Census, median household income",67700
"365","Waipa District",2018-03-31,"Census, median household income",80000
"366","Wairoa District",1996-03-31,"Census, median household income",27600
"367","Wairoa District",2001-03-31,"Census, median household income",29100
"368","Wairoa District",2006-03-31,"Census, median household income",37200
"369","Wairoa District",2013-03-31,"Census, median household income",42400
"370","Wairoa District",2018-03-31,"Census, median household income",48500
"371","Waitaki District",1996-03-31,"Census, median household income",27400
"372","Waitaki District",2001-03-31,"Census, median household income",29100
"373","Waitaki District",2006-03-31,"Census, median household income",35700
"374","Waitaki District",2013-03-31,"Census, median household income",48100
"375","Waitaki District",2018-03-31,"Census, median household income",55500
"376","Waitomo District",1996-03-31,"Census, median household income",29000
"377","Waitomo District",2001-03-31,"Census, median household income",35300
"378","Waitomo District",2006-03-31,"Census, median household income",43450
"379","Waitomo District",2013-03-31,"Census, median household income",51650
"380","Waitomo District",2018-03-31,"Census, median household income",57000
"381","Wellington City",1996-03-31,"Census, median household income",50900
"382","Wellington City",2001-03-31,"Census, median household income",59400
"383","Wellington City",2006-03-31,"Census, median household income",74200
"384","Wellington City",2013-03-31,"Census, median household income",91100
"385","Wellington City",2018-03-31,"Census, median household income",109300
"386","Wellington Region",1996-03-31,"Census, median household income",41300
"387","Wellington Region",2001-03-31,"Census, median household income",47600
"388","Wellington Region",2006-03-31,"Census, median household income",59700
"389","Wellington Region",2013-03-31,"Census, median household income",74300
"390","Wellington Region",2018-03-31,"Census, median household income",88300
"391","West Coast Region",1996-03-31,"Census, median household income",27600
"392","West Coast Region",2001-03-31,"Census, median household income",28400
"393","West Coast Region",2006-03-31,"Census, median household income",37800
"394","West Coast Region",2013-03-31,"Census, median household income",55000
"395","West Coast Region",2018-03-31,"Census, median household income",52200
"396","Western Bay of Plenty District",1996-03-31,"Census, median household income",30400
"397","Western Bay of Plenty District",2001-03-31,"Census, median household income",35450
"398","Western Bay of Plenty District",2006-03-31,"Census, median household income",46733.3333333333
"399","Western Bay of Plenty District",2013-03-31,"Census, median household income",55650
"400","Western Bay of Plenty District",2018-03-31,"Census, median household income",71100
"401","Westland District",1996-03-31,"Census, median household income",30800
"402","Westland District",2001-03-31,"Census, median household income",31400
"403","Westland District",2006-03-31,"Census, median household income",41300
"404","Westland District",2013-03-31,"Census, median household income",55600
"405","Westland District",2018-03-31,"Census, median household income",58500
"406","Whakatane District",1996-03-31,"Census, median household income",32100
"407","Whakatane District",2001-03-31,"Census, median household income",35300
"408","Whakatane District",2006-03-31,"Census, median household income",46200
"409","Whakatane District",2013-03-31,"Census, median household income",55300
"410","Whakatane District",2018-03-31,"Census, median household income",62200
"411","Whanganui District",1996-03-31,"Census, median household income",27000
"412","Whanganui District",2001-03-31,"Census, median household income",28500
"413","Whanganui District",2006-03-31,"Census, median household income",36100
"414","Whanganui District",2013-03-31,"Census, median household income",43800
"415","Whanganui District",2018-03-31,"Census, median household income",49200
"416","Whangarei District",1996-03-31,"Census, median household income",29300
"417","Whangarei District",2001-03-31,"Census, median household income",33000
"418","Whangarei District",2006-03-31,"Census, median household income",43933.3333333333
"419","Whangarei District",2013-03-31,"Census, median household income",52000
"420","Whangarei District",2018-03-31,"Census, median household income",62100
